run,setup_time,run_time,total_time,benchmark_output
1,93,21,114,0.007425785064697266 latency : 0.007425785064697266 
2,112,22,134,0.0058138370513916016 latency : 0.0058138370513916016 
3,111,22,133,0.006394147872924805 latency : 0.006394147872924805 
4,111,28,139,0.0071563720703125 latency : 0.0071563720703125 
5,110,21,131,0.007525205612182617 latency : 0.007525205612182617 
6,108,25,133,0.00670933723449707 latency : 0.00670933723449707 
7,115,22,137,0.0066986083984375 latency : 0.0066986083984375 
8,124,26,150,0.01356053352355957 latency : 0.01356053352355957 
9,108,25,133,0.006273746490478516 latency : 0.006273746490478516 
10,114,25,139,0.0067594051361083984 latency : 0.0067594051361083984 
