run,setup_time,run_time,total_time,benchmark_output
1,139,38,177,Usage: python3 invoke.py <N> Example: python3 invoke.py 200 
2,137,41,178,Usage: python3 invoke.py <N> Example: python3 invoke.py 200 
3,102,36,138,Usage: python3 invoke.py <N> Example: python3 invoke.py 200 
4,129,39,168,Usage: python3 invoke.py <N> Example: python3 invoke.py 200 
5,122,43,165,Usage: python3 invoke.py <N> Example: python3 invoke.py 200 
6,117,38,155,Usage: python3 invoke.py <N> Example: python3 invoke.py 200 
7,112,39,151,Usage: python3 invoke.py <N> Example: python3 invoke.py 200 
8,104,38,142,Usage: python3 invoke.py <N> Example: python3 invoke.py 200 
9,118,38,156,Usage: python3 invoke.py <N> Example: python3 invoke.py 200 
10,97,36,133,Usage: python3 invoke.py <N> Example: python3 invoke.py 200 
