run,setup_time,run_time,total_time,benchmark_output
1,216,34,250,0.014650106430053711 latency : 0.014650106430053711 
2,106,34,140,0.014243125915527344 latency : 0.014243125915527344 
3,113,41,154,0.014566183090209961 latency : 0.014566183090209961 
4,127,40,167,0.017882585525512695 latency : 0.017882585525512695 
5,110,38,148,0.0141143798828125 latency : 0.0141143798828125 
6,106,37,143,0.017245054244995117 latency : 0.017245054244995117 
7,117,35,152,0.019701242446899414 latency : 0.019701242446899414 
8,119,40,159,0.018352985382080078 latency : 0.018352985382080078 
9,106,36,142,0.02512645721435547 latency : 0.02512645721435547 
10,118,39,157,0.014801740646362305 latency : 0.014801740646362305 
