run,setup_time,run_time,total_time,benchmark_output
1,121,57,178,time="2025-12-12T13:40:01Z" level=debug msg="Get runtime connection" time="2025-12-12T13:40:01Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 Download `test-item` from bucket `functionbench-bucket-in` to `/tmp/test-item` Upload `test-item` to bucket `functionbench-bucket-out` Download time : 2.1685755252838135 Upload Time : 0.5468945503234863 
2,125,57,182,time="2025-12-12T13:37:02Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:02Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 Download `test-item` from bucket `functionbench-bucket-in` to `/tmp/test-item` Upload `test-item` to bucket `functionbench-bucket-out` Download time : 2.19466495513916 Upload Time : 0.5730140209197998 
3,119,61,180,time="2025-12-12T13:37:00Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:00Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 Download `test-item` from bucket `functionbench-bucket-in` to `/tmp/test-item` Upload `test-item` to bucket `functionbench-bucket-out` Download time : 2.0779736042022705 Upload Time : 0.4539148807525635 
4,122,60,182,time="2025-12-12T13:37:03Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:03Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 Download `test-item` from bucket `functionbench-bucket-in` to `/tmp/test-item` Upload `test-item` to bucket `functionbench-bucket-out` Download time : 1.9030025005340576 Upload Time : 0.5209927558898926 
5,122,58,180,time="2025-12-12T13:37:00Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:00Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 Download `test-item` from bucket `functionbench-bucket-in` to `/tmp/test-item` Upload `test-item` to bucket `functionbench-bucket-out` Download time : 1.8721964359283447 Upload Time : 0.46120762825012207 
6,123,55,178,time="2025-12-12T13:40:01Z" level=debug msg="Get runtime connection" time="2025-12-12T13:40:01Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 Download `test-item` from bucket `functionbench-bucket-in` to `/tmp/test-item` Upload `test-item` to bucket `functionbench-bucket-out` Download time : 2.233450412750244 Upload Time : 0.519122838973999 
7,129,-126,3,time="2025-12-12T13:37:07Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:07Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 Download `test-item` from bucket `functionbench-bucket-in` to `/tmp/test-item` Upload `test-item` to bucket `functionbench-bucket-out` Download time : 1.7503104209899902 Upload Time : 0.4713406562805176 
8,129,-122,7,time="2025-12-12T13:37:10Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:10Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 Download `test-item` from bucket `functionbench-bucket-in` to `/tmp/test-item` Upload `test-item` to bucket `functionbench-bucket-out` Download time : 1.6802115440368652 Upload Time : 0.4861452579498291 
9,122,56,178,time="2025-12-12T13:40:01Z" level=debug msg="Get runtime connection" time="2025-12-12T13:40:01Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 Download `test-item` from bucket `functionbench-bucket-in` to `/tmp/test-item` Upload `test-item` to bucket `functionbench-bucket-out` Download time : 1.921576976776123 Upload Time : 0.43552327156066895 
10,107,52,159,time="2025-12-12T13:39:44Z" level=debug msg="Get runtime connection" time="2025-12-12T13:39:44Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 Download `test-item` from bucket `functionbench-bucket-in` to `/tmp/test-item` Upload `test-item` to bucket `functionbench-bucket-out` Download time : 1.7382819652557373 Upload Time : 0.4979548454284668 
