run,setup_time,run_time,total_time,benchmark_output
1,126,38,164,time="2025-12-12T13:39:48Z" level=debug msg="Get runtime connection" time="2025-12-12T13:39:48Z" level=debug msg="Using runtime connection timeout: 1h6m40s" bs=512 count=100 b'total 64K\ndrwxrwxrwt  2 root root 4.0K Apr  7 19:29 .\ndrwxr-xr-x 18 root root 4.0K Dec 15  2025 ..\n-rw-r--r--  1 root root   93 Apr  7 19:29 io_write_logs\n-rw-r--r--  1 root root  50K Apr  7 19:29 out\n' b'60K\t/tmp/\n' 51200 bytes (51 kB; 50 KiB) copied; 0.0437009 s; 1.2 MB/s 51200 bytes (51 kB; 50 KiB) copied; 0.0437009 s; 1.2 MB/s 
2,145,31,176,time="2025-12-12T13:39:59Z" level=debug msg="Get runtime connection" time="2025-12-12T13:39:59Z" level=debug msg="Using runtime connection timeout: 1h6m40s" bs=512 count=100 b'total 64K\ndrwxrwxrwt  2 root root 4.0K Apr  7 19:29 .\ndrwxr-xr-x 18 root root 4.0K Dec 15  2025 ..\n-rw-r--r--  1 root root   93 Apr  7 19:29 io_write_logs\n-rw-r--r--  1 root root  50K Apr  7 19:29 out\n' b'60K\t/tmp/\n' 51200 bytes (51 kB; 50 KiB) copied; 0.0318266 s; 1.6 MB/s 51200 bytes (51 kB; 50 KiB) copied; 0.0318266 s; 1.6 MB/s 
3,143,36,179,time="2025-12-12T13:37:00Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:00Z" level=debug msg="Using runtime connection timeout: 1h6m40s" bs=512 count=100 b'total 64K\ndrwxrwxrwt  2 root root 4.0K Apr  7 19:29 .\ndrwxr-xr-x 18 root root 4.0K Dec 15  2025 ..\n-rw-r--r--  1 root root   93 Apr  7 19:29 io_write_logs\n-rw-r--r--  1 root root  50K Apr  7 19:29 out\n' b'60K\t/tmp/\n' 51200 bytes (51 kB; 50 KiB) copied; 0.0308376 s; 1.7 MB/s 51200 bytes (51 kB; 50 KiB) copied; 0.0308376 s; 1.7 MB/s 
4,117,28,145,time="2025-12-12T13:39:28Z" level=debug msg="Get runtime connection" time="2025-12-12T13:39:28Z" level=debug msg="Using runtime connection timeout: 1h6m40s" bs=512 count=100 b'total 64K\ndrwxrwxrwt  2 root root 4.0K Apr  7 19:29 .\ndrwxr-xr-x 18 root root 4.0K Dec 15  2025 ..\n-rw-r--r--  1 root root   93 Apr  7 19:29 io_write_logs\n-rw-r--r--  1 root root  50K Apr  7 19:29 out\n' b'60K\t/tmp/\n' 51200 bytes (51 kB; 50 KiB) copied; 0.0287482 s; 1.8 MB/s 51200 bytes (51 kB; 50 KiB) copied; 0.0287482 s; 1.8 MB/s 
5,126,34,160,time="2025-12-12T13:39:43Z" level=debug msg="Get runtime connection" time="2025-12-12T13:39:43Z" level=debug msg="Using runtime connection timeout: 1h6m40s" bs=512 count=100 b'total 64K\ndrwxrwxrwt  2 root root 4.0K Apr  7 19:29 .\ndrwxr-xr-x 18 root root 4.0K Dec 15  2025 ..\n-rw-r--r--  1 root root   93 Apr  7 19:29 io_write_logs\n-rw-r--r--  1 root root  50K Apr  7 19:29 out\n' b'60K\t/tmp/\n' 51200 bytes (51 kB; 50 KiB) copied; 0.0326442 s; 1.6 MB/s 51200 bytes (51 kB; 50 KiB) copied; 0.0326442 s; 1.6 MB/s 
6,138,31,169,time="2025-12-12T13:39:52Z" level=debug msg="Get runtime connection" time="2025-12-12T13:39:52Z" level=debug msg="Using runtime connection timeout: 1h6m40s" bs=512 count=100 b'total 64K\ndrwxrwxrwt  2 root root 4.0K Apr  7 19:29 .\ndrwxr-xr-x 18 root root 4.0K Dec 15  2025 ..\n-rw-r--r--  1 root root   93 Apr  7 19:29 io_write_logs\n-rw-r--r--  1 root root  50K Apr  7 19:29 out\n' b'60K\t/tmp/\n' 51200 bytes (51 kB; 50 KiB) copied; 0.0306425 s; 1.7 MB/s 51200 bytes (51 kB; 50 KiB) copied; 0.0306425 s; 1.7 MB/s 
7,152,-147,5,time="2025-12-12T13:37:09Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:09Z" level=debug msg="Using runtime connection timeout: 1h6m40s" bs=512 count=100 b'total 64K\ndrwxrwxrwt  2 root root 4.0K Apr  7 19:29 .\ndrwxr-xr-x 18 root root 4.0K Dec 15  2025 ..\n-rw-r--r--  1 root root   93 Apr  7 19:29 io_write_logs\n-rw-r--r--  1 root root  50K Apr  7 19:29 out\n' b'60K\t/tmp/\n' 51200 bytes (51 kB; 50 KiB) copied; 0.0338891 s; 1.5 MB/s 51200 bytes (51 kB; 50 KiB) copied; 0.0338891 s; 1.5 MB/s 
8,128,31,159,time="2025-12-12T13:39:43Z" level=debug msg="Get runtime connection" time="2025-12-12T13:39:43Z" level=debug msg="Using runtime connection timeout: 1h6m40s" bs=512 count=100 b'total 64K\ndrwxrwxrwt  2 root root 4.0K Apr  7 19:29 .\ndrwxr-xr-x 18 root root 4.0K Dec 15  2025 ..\n-rw-r--r--  1 root root   93 Apr  7 19:29 io_write_logs\n-rw-r--r--  1 root root  50K Apr  7 19:29 out\n' b'60K\t/tmp/\n' 51200 bytes (51 kB; 50 KiB) copied; 0.0501825 s; 1.0 MB/s 51200 bytes (51 kB; 50 KiB) copied; 0.0501825 s; 1.0 MB/s 
9,114,29,143,time="2025-12-12T13:39:27Z" level=debug msg="Get runtime connection" time="2025-12-12T13:39:27Z" level=debug msg="Using runtime connection timeout: 1h6m40s" bs=512 count=100 b'total 64K\ndrwxrwxrwt  2 root root 4.0K Apr  7 19:29 .\ndrwxr-xr-x 18 root root 4.0K Dec 15  2025 ..\n-rw-r--r--  1 root root   93 Apr  7 19:29 io_write_logs\n-rw-r--r--  1 root root  50K Apr  7 19:29 out\n' b'60K\t/tmp/\n' 51200 bytes (51 kB; 50 KiB) copied; 0.0382672 s; 1.3 MB/s 51200 bytes (51 kB; 50 KiB) copied; 0.0382672 s; 1.3 MB/s 
10,115,36,151,time="2025-12-12T13:39:34Z" level=debug msg="Get runtime connection" time="2025-12-12T13:39:34Z" level=debug msg="Using runtime connection timeout: 1h6m40s" bs=512 count=100 b'total 64K\ndrwxrwxrwt  2 root root 4.0K Apr  7 19:29 .\ndrwxr-xr-x 18 root root 4.0K Dec 15  2025 ..\n-rw-r--r--  1 root root   93 Apr  7 19:29 io_write_logs\n-rw-r--r--  1 root root  50K Apr  7 19:29 out\n' b'60K\t/tmp/\n' 51200 bytes (51 kB; 50 KiB) copied; 0.0358072 s; 1.4 MB/s 51200 bytes (51 kB; 50 KiB) copied; 0.0358072 s; 1.4 MB/s 
