run,setup_time,run_time,total_time,benchmark_output
1,121,47,168,0.008869409561157227 latency : 0.008869409561157227 
2,129,32,161,0.006657600402832031 latency : 0.006657600402832031 
3,119,30,149,0.0068874359130859375 latency : 0.0068874359130859375 
4,118,31,149,0.006068229675292969 latency : 0.006068229675292969 
5,113,25,138,0.006396770477294922 latency : 0.006396770477294922 
6,133,28,161,0.0078029632568359375 latency : 0.0078029632568359375 
7,138,26,164,0.008754491806030273 latency : 0.008754491806030273 
8,137,29,166,0.006840705871582031 latency : 0.006840705871582031 
9,129,25,154,0.0074880123138427734 latency : 0.0074880123138427734 
10,122,25,147,0.007922649383544922 latency : 0.007922649383544922 
