run,setup_time,run_time,total_time,benchmark_output
1,152,-82,70,time="2025-12-12T13:38:14Z" level=debug msg="Get runtime connection" time="2025-12-12T13:38:14Z" level=debug msg="Using runtime connection timeout: 1h6m40s" 20.05536675453186 disk latency : 8.634045362472534/ compress latency : 20.05536675453186 
2,116,-97,19,time="2025-12-12T13:37:23Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:23Z" level=debug msg="Using runtime connection timeout: 1h6m40s" 22.1828670501709 disk latency : 10.606871128082275/ compress latency : 22.1828670501709 
3,119,-83,36,time="2025-12-12T13:37:40Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:40Z" level=debug msg="Using runtime connection timeout: 1h6m40s" 16.470202922821045 disk latency : 16.06512141227722/ compress latency : 16.470202922821045 
4,127,-84,43,time="2025-12-12T13:37:46Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:47Z" level=debug msg="Using runtime connection timeout: 1h6m40s" 17.10876703262329 disk latency : 14.335314989089966/ compress latency : 17.10876703262329 
5,117,-86,31,time="2025-12-12T13:37:34Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:34Z" level=debug msg="Using runtime connection timeout: 1h6m40s" 16.997780799865723 disk latency : 12.323720455169678/ compress latency : 16.997780799865723 
6,121,-82,39,time="2025-12-12T13:37:42Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:42Z" level=debug msg="Using runtime connection timeout: 1h6m40s" 20.102405071258545 disk latency : 8.61649775505066/ compress latency : 20.102405071258545 
7,132,-89,43,time="2025-12-12T13:37:47Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:47Z" level=debug msg="Using runtime connection timeout: 1h6m40s" 17.641008138656616 disk latency : 14.439445972442627/ compress latency : 17.641008138656616 
8,135,-88,47,time="2025-12-12T13:37:52Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:52Z" level=debug msg="Using runtime connection timeout: 1h6m40s" 16.203094244003296 disk latency : 11.601065158843994/ compress latency : 16.203094244003296 
9,125,-83,42,time="2025-12-12T13:37:45Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:45Z" level=debug msg="Using runtime connection timeout: 1h6m40s" 16.75970983505249 disk latency : 15.411103010177612/ compress latency : 16.75970983505249 
10,115,-92,23,time="2025-12-12T13:37:27Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:27Z" level=debug msg="Using runtime connection timeout: 1h6m40s" 16.734086275100708 disk latency : 8.827962636947632/ compress latency : 16.734086275100708 
