run,setup_time,run_time,total_time,benchmark_output
1,147,-130,17,time="2025-12-12T13:37:21Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:21Z" level=debug msg="Using runtime connection timeout: 1h6m40s" {'mflops': 50.50109827848899; 'latency': 1.7821943759918213} latency : 1.7821943759918213 mflops : 50.50109827848899 
2,146,-130,16,time="2025-12-12T13:37:20Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:20Z" level=debug msg="Using runtime connection timeout: 1h6m40s" {'mflops': 51.98143317436289; 'latency': 1.731440782546997} latency : 1.731440782546997 mflops : 51.98143317436289 
3,128,52,180,time="2025-12-12T13:37:01Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:01Z" level=debug msg="Using runtime connection timeout: 1h6m40s" {'mflops': 62.730805062396676; 'latency': 1.4347460269927979} latency : 1.4347460269927979 mflops : 62.730805062396676 
4,114,45,159,time="2025-12-12T13:39:43Z" level=debug msg="Get runtime connection" time="2025-12-12T13:39:43Z" level=debug msg="Using runtime connection timeout: 1h6m40s" {'mflops': 65.994954336281; 'latency': 1.3637826442718506} latency : 1.3637826442718506 mflops : 65.994954336281 
5,128,51,179,time="2025-12-12T13:37:00Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:00Z" level=debug msg="Using runtime connection timeout: 1h6m40s" {'mflops': 64.61150618519355; 'latency': 1.3929836750030518} latency : 1.3929836750030518 mflops : 64.61150618519355 
6,132,-129,3,time="2025-12-12T13:37:06Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:06Z" level=debug msg="Using runtime connection timeout: 1h6m40s" {'mflops': 65.44910641413242; 'latency': 1.3751566410064697} latency : 1.3751566410064697 mflops : 65.44910641413242 
7,139,-130,9,time="2025-12-12T13:37:12Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:13Z" level=debug msg="Using runtime connection timeout: 1h6m40s" {'mflops': 64.65030125461195; 'latency': 1.3921477794647217} latency : 1.3921477794647217 mflops : 64.65030125461195 
8,120,47,167,time="2025-12-12T13:39:51Z" level=debug msg="Get runtime connection" time="2025-12-12T13:39:51Z" level=debug msg="Using runtime connection timeout: 1h6m40s" {'mflops': 69.5482231538708; 'latency': 1.2941060066223145} latency : 1.2941060066223145 mflops : 69.5482231538708 
9,125,48,173,time="2025-12-12T13:39:57Z" level=debug msg="Get runtime connection" time="2025-12-12T13:39:57Z" level=debug msg="Using runtime connection timeout: 1h6m40s" {'mflops': 66.57958542820194; 'latency': 1.3518073558807373} latency : 1.3518073558807373 mflops : 66.57958542820194 
10,122,52,174,time="2025-12-12T13:39:57Z" level=debug msg="Get runtime connection" time="2025-12-12T13:39:57Z" level=debug msg="Using runtime connection timeout: 1h6m40s" {'mflops': 72.55067167746697; 'latency': 1.2405505180358887} latency : 1.2405505180358887 mflops : 72.55067167746697 
