run,setup_time,run_time,total_time,benchmark_output
1,126,-97,29,time="2025-12-12T13:37:32Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:32Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 241.66033744812012 
2,142,-19,123,time="2025-12-12T13:39:07Z" level=debug msg="Get runtime connection" time="2025-12-12T13:39:07Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 296.59993290901184 
3,138,-82,56,time="2025-12-12T13:37:59Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:59Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 242.115882396698 
4,117,-98,19,time="2025-12-12T13:37:22Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:22Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 246.35177326202393 
5,122,-83,39,time="2025-12-12T13:37:42Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:42Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 245.17873406410217 
6,128,-102,26,time="2025-12-12T13:37:29Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:29Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 258.3788466453552 
7,120,-88,32,time="2025-12-12T13:37:36Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:36Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 245.4767336845398 
8,139,-71,68,time="2025-12-12T13:38:12Z" level=debug msg="Get runtime connection" time="2025-12-12T13:38:12Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 248.7132694721222 
9,115,-88,27,time="2025-12-12T13:37:31Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:31Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 245.29314470291138 
10,122,-71,51,time="2025-12-12T13:37:55Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:55Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 245.34818744659424 
