run,setup_time,run_time,total_time,benchmark_output
1,124,-86,38,time="2025-12-12T13:37:41Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:41Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 243.61289072036743 
2,133,-127,6,time="2025-12-12T13:37:10Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:10Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 231.82543873786926 
3,115,-89,26,time="2025-12-12T13:37:30Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:30Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 244.97312355041504 
4,143,-86,57,time="2025-12-12T13:38:00Z" level=debug msg="Get runtime connection" time="2025-12-12T13:38:00Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 243.9042308330536 
5,120,-105,15,time="2025-12-12T13:37:18Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:18Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 241.25795245170593 
6,151,-20,131,time="2025-12-12T13:39:14Z" level=debug msg="Get runtime connection" time="2025-12-12T13:39:14Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 287.96061062812805 
7,125,-77,48,time="2025-12-12T13:37:52Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:52Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 239.63793921470642 
8,121,-83,38,time="2025-12-12T13:37:42Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:42Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 245.7042224407196 
9,122,-80,42,time="2025-12-12T13:37:46Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:46Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 244.89844369888306 
10,128,-117,11,time="2025-12-12T13:37:14Z" level=debug msg="Get runtime connection" time="2025-12-12T13:37:14Z" level=debug msg="Using runtime connection timeout: 1h6m40s" Fri Dec 12 13:37:00 UTC 2025 OpenCV: FFMPEG: tag 0x44495658/'XVID' is not supported with codec id 12 and format 'mp4 / MP4 (MPEG-4 Part 14)' OpenCV: FFMPEG: fallback to use tag 0x7634706d/'mp4v' Blob sample.mp4 downloaded to /tmp/sample.mp4 File /tmp/output-sample.mp4 uploaded to sample.mp4 latency : 247.30573177337646 
